"";"ID";"value_mortgage";"value_nonmortgage"
"857";"251-87-5269";0;14325
"858";"933-73-3417";539188;10976
"859";"543-56-7724";0;8884
"860";"120-99-9273";405840;6288
"861";"308-18-1373";0;4694
"862";"742-93-1346";519329;5234
"863";"444-12-7882";0;5619
"864";"420-26-5111";0;4600
"865";"641-59-7656";0;7238
"866";"593-16-1135";0;12350
"867";"553-52-8828";0;5952
"868";"834-15-9711";0;6209
"869";"575-49-6902";315855;12772
"870";"191-91-7131";442009;1656
"871";"440-40-2033";0;7791
"872";"960-78-8067";0;10958
"873";"637-27-9541";0;2986
"874";"194-24-7149";671281;563
"875";"322-92-1494";386051;4155
"876";"396-89-6306";0;14079
"877";"290-90-5687";0;5938
"878";"740-11-8153";0;5730
"879";"267-96-9727";756234;1671
"880";"479-70-4897";398523;23552
"881";"592-23-8604";0;2930
"882";"399-26-8717";594129;6195
"883";"436-63-7531";0;6749
"884";"977-47-6861";0;7639
"885";"425-89-3344";0;11875
"886";"489-47-1618";0;5565
"887";"787-50-5451";0;11244
"888";"565-23-5114";0;15347
"889";"250-23-5906";0;4559
"890";"440-98-2677";0;8924
"891";"883-45-1047";0;6713
"892";"348-63-7892";0;14550
"893";"729-90-2579";993641;10233
"894";"455-47-5548";0;3397
"895";"757-85-3762";0;6861
"896";"179-69-9645";0;13891
"897";"569-86-1874";0;7442
"898";"228-90-9277";0;3911
"899";"904-37-5972";1102878;14444
"900";"289-75-4506";0;4284
"901";"981-59-4788";0;6103
"902";"564-27-5884";0;12172
"903";"369-83-2232";0;16763
"904";"593-74-8582";353086;20827
"905";"990-44-5298";0;6004
"906";"846-26-2448";0;9899
"907";"815-84-1330";0;1148
"908";"336-85-7155";0;7260
"909";"980-99-7106";511816;9921
"910";"346-85-1049";348467;1665
"911";"212-12-8681";0;1424
"912";"139-33-3597";0;1596
"913";"872-13-7335";538950;9993
"914";"915-85-3978";653018;5662
"915";"140-73-5394";671912;11627
"916";"900-83-3461";0;14597
"917";"279-34-9511";0;11095
"918";"792-48-4483";0;27057
"919";"649-19-3941";429954;12049
"920";"352-59-5017";0;18077
"921";"619-92-2208";0;5805
"922";"212-19-7762";0;15340
"923";"980-95-2290";354106;2426
"924";"301-42-5123";0;26149
"925";"164-97-8056";0;5693
"926";"106-75-2950";620011;1962
"927";"592-34-7040";0;6750
"928";"406-44-9737";0;10630
"929";"587-11-1595";0;6254
"930";"874-14-4675";0;18624
"931";"456-17-7898";760685;43443
"932";"811-50-3921";0;13346
"933";"635-25-4625";482345;6819
"934";"376-52-6108";0;5770
"935";"274-74-4033";0;1904
"936";"166-31-9759";0;21232
"937";"711-61-4052";0;8135
"938";"609-17-3142";451816;6922
"939";"175-53-1801";358056;19852
"940";"320-77-5324";465156;4776
"941";"964-52-5107";0;6561
"942";"736-93-5860";0;11032
"943";"692-53-8831";345740;9163
"944";"631-20-9052";411866;2760
"945";"320-10-3084";209584;4599
"946";"331-24-9723";701873;10848
"947";"233-70-2246";112102;9797
"948";"405-99-1529";0;13454
"949";"583-27-9912";0;15515
"950";"980-33-7583";0;339
"951";"119-34-8957";323382;7996
"952";"956-36-5371";414205;7567
"953";"720-41-8709";0;24181
"954";"174-62-6525";0;6508
"955";"943-81-2359";0;10690
"956";"465-88-5155";597126;6705
"957";"239-13-7360";0;3588
"958";"915-15-9155";0;983
"959";"720-21-3866";514137;3711
"960";"114-81-2694";180033;8779
"961";"548-72-8319";0;27267
"962";"263-85-3803";498173;3388
"963";"279-36-5706";0;9800
"964";"934-94-6216";298682;5421
"965";"439-69-2934";298163;3367
"966";"370-86-6082";0;23161
"967";"849-80-3904";1328626;2932
"968";"240-29-7475";0;14557
"969";"652-53-9287";0;4844
"970";"347-73-8465";497531;3342
"971";"782-37-3579";359856;698
"972";"531-76-5034";0;2908
"973";"245-16-8397";0;6422
"974";"497-47-4126";0;4061
"975";"829-44-1675";0;10337
"976";"594-45-3601";605155;21393
"977";"765-93-8954";0;20149
"978";"182-43-6602";811375;9914
"979";"589-11-9460";0;12574
"980";"452-68-5588";0;6302
"981";"833-82-9898";0;19066
"982";"611-18-6896";0;8322
"983";"220-39-1261";0;7275
"984";"930-98-1404";341675;21601
"985";"278-74-4839";0;4537
"986";"847-91-3522";0;16827
"987";"342-71-7965";1009172;8058
"988";"723-94-9893";0;11398
"989";"804-88-9227";0;5447
"990";"778-89-9795";347918;5403
"991";"432-88-8218";426950;16990
"992";"826-28-9408";0;9570
"993";"629-65-1689";0;3138
"994";"317-14-6360";0;16378
"995";"580-18-1726";546416;4019
"996";"663-65-8100";321077;473
"997";"251-74-5647";0;3321
"998";"839-85-1392";0;12745
"999";"216-33-1334";0;2698
"1000";"252-63-6916";0;4848
"1001";"572-31-5379";0;11345
"1002";"491-29-1305";0;4962
"1003";"718-23-1196";0;1597
"1004";"434-86-5991";649286;2607
"1005";"653-63-8938";579637;21855
"1006";"886-87-5763";802729;7382
"1007";"638-94-8440";484673;4144
"1008";"812-98-8149";691720;7946
"1009";"694-49-3934";0;9823
"1010";"998-12-5230";425125;9291
"1011";"415-79-9863";491840;14598
"1012";"760-45-5069";0;6425
"1013";"297-81-7713";0;20658
"1014";"203-73-9791";0;4389
"1015";"525-40-2706";436823;8891
"1016";"964-53-4191";1194760;10332
"1017";"347-19-5303";0;10230
"1018";"811-96-4421";0;7940
"1019";"602-49-8320";0;7288
"1020";"265-35-5939";0;10021
"1021";"170-73-9237";0;1513
"1022";"394-40-1657";0;21189
"1023";"543-54-3766";0;6322
"1024";"498-74-8520";864734;10196
"1025";"754-60-1583";0;13724
"1026";"500-54-7648";0;25466
"1027";"653-59-4474";0;6915
"1028";"115-94-4270";0;5479
"1029";"938-67-1083";0;3329
"1030";"304-70-5723";0;15465
"1031";"328-90-6594";0;11920
"1032";"972-64-6027";0;2205
"1033";"558-95-9090";0;3816
"1034";"764-67-3891";0;32367
"1035";"394-93-7944";0;2930
"1036";"867-36-5537";0;16660
"1037";"653-66-1530";0;12880
"1038";"349-85-2025";439617;1817
"1039";"202-91-3563";668121;1466
"1040";"858-95-5722";0;790
"1041";"333-86-5263";334695;9091
"1042";"848-27-4944";596845;6260
"1043";"757-81-2646";368492;11722
"1044";"294-50-9664";557733;6299
"1045";"512-28-7406";0;15555
"1046";"964-55-1874";0;14257
"1047";"739-80-9884";450213;4575
"1048";"453-45-1716";826749;12826
"1049";"406-40-4687";0;20115
"1050";"286-46-1415";0;9697
"1051";"525-50-3043";0;12634
"1052";"109-55-8144";0;25452
"1053";"678-19-4920";0;8527
"1054";"984-83-4034";835925;9710
"1055";"304-60-7171";0;9437
"1056";"147-69-2274";0;5691
"1057";"990-27-6210";0;2287
"1058";"810-26-4000";0;8567
"1059";"105-54-9220";0;13133
"1060";"458-58-7472";0;10091
"1061";"568-78-2009";384481;2533
"1062";"493-15-2282";528781;5438
"1063";"511-97-7829";0;5652
"1064";"391-52-1252";0;7836
"1065";"799-99-8780";0;9591
"1066";"935-90-4285";0;18451
"1067";"693-53-9745";0;3417
"1068";"517-74-9417";0;6222
"1069";"832-44-9976";0;6178
"1070";"326-44-7542";836898;4780
"1071";"727-30-2594";597606;10351
"1072";"185-10-8963";0;18475
"1073";"541-11-8970";503364;6887
"1074";"706-16-9028";0;9901
"1075";"563-41-3280";0;4307
"1076";"880-96-6746";0;11772
"1077";"252-35-5110";533115;4452
"1078";"737-41-4322";0;18693
"1079";"890-39-5881";948869;2877
"1080";"698-30-5424";0;16395
"1081";"500-79-4908";0;17055
"1082";"519-45-7160";0;1684
"1083";"493-53-6828";0;10612
"1084";"477-66-6896";0;12157
"1085";"107-63-2890";0;11570
"1086";"840-69-8484";0;5898
"1087";"380-42-6616";0;3902
"1088";"718-48-2714";0;5339
"1089";"629-67-9921";0;5053
"1090";"954-55-4802";0;10333
"1091";"812-52-9051";0;14464
"1092";"626-38-9068";0;2524
"1093";"698-71-5246";0;23905
"1094";"838-77-7102";689516;2439
"1095";"921-47-1056";0;9571
"1096";"619-89-6547";0;12797
"1097";"248-99-4096";0;4383
"1098";"923-85-5516";0;11378
"1099";"678-16-8398";0;12399
"1100";"414-53-5818";0;7194
"1101";"417-77-8443";0;5762
"1102";"563-35-4791";0;2320
"1103";"867-29-1102";0;5593
"1104";"155-69-6916";0;14418
"1105";"106-97-9694";0;39905
"1106";"229-80-1513";0;30726
"1107";"863-88-4910";0;5322
"1108";"441-51-3813";0;22142
"1109";"806-81-6719";0;21245
"1110";"508-49-8746";0;8220
"1111";"361-54-6218";0;2975
"1112";"492-38-8659";386819;3256
"1113";"938-73-9542";0;12576
"1114";"502-47-3525";0;26025
"1115";"318-31-1673";0;18149
"1116";"254-37-2899";0;26040
"1117";"315-48-3075";0;6577
"1118";"172-39-6120";776768;2220
"1119";"893-47-9899";380481;9296
"1120";"414-85-8922";0;4933
"1121";"424-58-5791";0;12126
"1122";"829-47-7074";349939;25868
"1123";"802-52-3159";0;3671
"1124";"918-65-4476";286996;21887
"1125";"927-25-6220";222108;5480
"1126";"169-37-7988";0;6372
"1127";"714-72-4057";0;3911
"1128";"284-25-2430";0;9204
"1129";"999-48-3813";284479;6107
"1130";"416-44-5538";558457;12517
"1131";"809-71-2651";0;6350
"1132";"724-83-9742";860218;11046
"1133";"783-51-8612";647633;20583
"1134";"648-94-2746";0;3243
"1135";"520-92-5664";494012;11720
"1136";"943-16-4912";0;1895
"1137";"858-53-7118";0;19085
"1138";"487-60-2186";0;16264
"1139";"926-82-2319";0;17625
"1140";"357-47-9938";0;4771
"1141";"981-65-7966";0;5453
"1142";"911-35-6336";692708;3999
"1143";"629-50-8024";0;5881
"1144";"874-27-9725";0;10091
"1145";"904-11-2826";371326;11626
"1146";"236-31-7509";0;5303
"1147";"979-68-1475";323014;9037
"1148";"271-18-5836";0;14145
"1149";"354-56-4196";629059;4491
"1150";"167-68-6891";834453;18246
"1151";"658-94-1024";0;4862
"1152";"309-71-3653";0;19092
"1153";"878-45-7195";0;2447
"1154";"369-76-9440";0;6481
"1155";"698-27-1127";0;10487
"1156";"250-36-1521";271356;8995
"1157";"468-83-7379";849770;4942
"1158";"799-16-4617";0;18093
"1159";"152-62-3996";0;4169
"1160";"260-49-4119";0;1717
"1161";"555-76-7558";0;7588
"1162";"413-45-7340";0;13538
"1163";"731-89-4976";234830;2580
"1164";"478-74-9579";0;10115
"1165";"470-53-7729";0;9862
"1166";"966-18-3981";316346;5328
"1167";"315-95-8208";0;760
"1168";"121-43-1124";0;15278
"1169";"964-17-9066";0;10153
"1170";"443-12-9269";582171;22602
"1171";"524-23-1411";0;8567
"1172";"870-60-5192";0;4585
"1173";"996-29-9826";0;2307
"1174";"971-26-3413";0;3391
"1175";"161-48-1792";485866;16628
"1176";"628-62-8313";0;8005
"1177";"228-93-2712";283254;11964
"1178";"996-13-3222";0;7222
"1179";"413-15-6668";444652;9406
"1180";"381-77-3978";0;2568
"1181";"651-59-4522";572681;3329
"1182";"647-19-9044";0;5674
"1183";"511-77-4500";0;8705
"1184";"528-46-3656";0;7711
"1185";"448-87-6638";0;3246
"1186";"462-65-2874";0;6324
"1187";"497-75-9349";0;13863
"1188";"616-48-5911";0;4903
"1189";"571-91-5274";555513;6603
"1190";"848-43-9627";0;6217
"1191";"412-49-4741";445084;33130
"1192";"201-98-6125";0;5531
"1193";"409-98-5843";357211;13478
"1194";"757-78-4301";0;6426
"1195";"246-95-4649";606196;11330
"1196";"354-63-5622";0;1793
"1197";"414-15-2746";0;29863
"1198";"294-45-4003";0;4333
"1199";"122-32-4974";0;3802
"1200";"674-15-9131";0;18707
"1201";"149-10-2973";0;6297
"1202";"719-41-9261";0;7294
"1203";"445-21-1393";0;3317
"1204";"932-28-8158";0;24149
"1205";"481-77-5959";0;8843
"1206";"292-62-4469";0;12517
"1207";"853-97-2237";0;11143
"1208";"593-97-7633";862133;22524
"1209";"584-54-3948";991726;13380
"1210";"669-13-7912";0;29113
"1211";"867-70-9000";448534;16906
"1212";"903-57-7007";0;17129
"1213";"376-47-5683";0;14038
"1214";"604-29-2381";0;16652
"1215";"126-81-2357";0;6172
"1216";"106-77-9292";0;9793
"1217";"572-74-4909";0;19182
"1218";"512-73-2808";391277;13107
"1219";"295-13-3991";460837;11689
"1220";"851-38-9003";0;7440
"1221";"272-49-8160";608212;18794
"1222";"885-76-4490";210431;25109
"1223";"835-17-3269";991306;5923
"1224";"718-78-1405";593988;3096
"1225";"996-45-6439";374350;22991
"1226";"646-16-4644";0;36639
"1227";"974-38-8386";0;1503
"1228";"500-65-2003";0;4274
"1229";"664-31-2993";0;3830
"1230";"151-52-7979";0;16613
"1231";"540-77-3841";0;601
"1232";"452-34-2340";0;11517
"1233";"104-62-8135";748894;4597
"1234";"380-94-6000";0;7269
"1235";"149-54-7463";600241;5004
"1236";"621-64-8140";0;16973
"1237";"967-15-1113";0;6601
"1238";"459-65-6561";609823;16859
"1239";"810-59-8235";0;35992
"1240";"652-80-4039";0;3823
"1241";"570-73-8992";0;3859
"1242";"592-90-1097";0;20063
"1243";"863-36-3896";0;21529
"1244";"791-12-3913";0;1310
"1245";"184-30-9677";0;15892
"1246";"185-61-5922";0;10513
"1247";"308-10-1839";169746;2296
"1248";"354-87-1120";0;12169
"1249";"302-69-8981";0;5090
"1250";"946-13-8438";0;7874
"1251";"791-53-7889";409042;4054
"1252";"531-45-1469";0;10020
"1253";"225-26-7892";0;16741
"1254";"678-90-8424";0;6328
"1255";"884-47-1052";0;13547
"1256";"288-92-8006";360061;9387
"1257";"363-83-5798";0;6959
"1258";"333-50-5120";142664;19544
"1259";"409-25-9009";0;10418
"1260";"734-49-6460";500030;7036
"1261";"919-89-3096";0;641
"1262";"398-39-9950";0;7604
"1263";"976-61-3831";464795;5544
"1264";"790-44-1715";0;35549
"1265";"305-57-1853";0;11111
"1266";"496-11-9495";0;14116
"1267";"346-96-6538";0;19866
"1268";"751-79-4751";0;8207
"1269";"656-49-8975";0;9737
"1270";"378-25-1225";0;11453
"1271";"451-64-8818";344678;16552
"1272";"381-70-6607";221900;3246
"1273";"677-30-1509";355286;18758
"1274";"858-16-8888";747619;8046
"1275";"977-31-6944";0;3372
"1276";"149-41-4469";0;19361
"1277";"700-68-3497";0;3934
"1278";"223-99-3149";436266;13871
"1279";"673-84-7526";0;5453
"1280";"948-36-7974";485533;1949
"1281";"200-97-5793";0;4916
"1282";"706-34-4874";0;7090
"1283";"537-17-6343";0;10339
"1284";"695-42-4039";0;353
"1285";"678-33-8556";0;15337
"1286";"841-68-5102";0;5575
"1287";"725-67-7203";429964;19115
"1288";"247-61-1728";0;1599
"1289";"817-16-8403";0;4482
"1290";"671-61-6050";0;2570
"1291";"190-36-4049";0;7304
"1292";"580-92-8482";0;20099
"1293";"193-38-7246";0;8483
"1294";"878-93-4140";0;2640
"1295";"476-77-4318";214702;7915
"1296";"650-91-9905";902565;7178
"1297";"275-54-3517";0;11909
"1298";"527-48-6062";297703;5386
"1299";"132-81-4413";0;5297
"1300";"614-16-1463";0;4010
"1301";"320-80-8299";798369;5285
"1302";"262-28-2292";0;18778
"1303";"181-77-7284";0;5712
"1304";"713-18-3491";0;2400
"1305";"472-49-8255";0;9262
"1306";"326-45-1779";0;5880
"1307";"528-95-5503";0;11606
"1308";"638-43-3637";0;18913
"1309";"519-87-9811";410778;5072
"1310";"613-98-8432";0;10524
"1311";"835-45-9294";634868;4403
"1312";"348-33-4994";0;4787
"1313";"411-65-9148";0;2923
"1314";"801-89-2859";256031;6088
"1315";"178-34-9082";0;14895
"1316";"783-89-2147";568052;7513
"1317";"268-96-7754";0;6034
"1318";"251-79-1492";360664;7258
"1319";"620-72-4856";0;7798
"1320";"964-71-6799";0;9053
"1321";"651-30-4203";0;6512
"1322";"567-48-8717";0;4791
"1323";"208-63-3461";0;16220
"1324";"452-10-1787";720243;7254
"1325";"114-96-4369";0;27807
"1326";"258-69-3849";0;7677
"1327";"435-62-6163";0;19032
"1328";"869-61-4655";0;10526
"1329";"558-50-5104";0;3975
"1330";"673-88-4905";0;11574
"1331";"438-23-3269";0;12893
"1332";"850-19-8180";0;2203
"1333";"610-90-7034";0;10902
"1334";"880-87-4687";319407;9564
"1335";"247-56-2970";0;5765
"1336";"537-40-8628";1067253;4719
"1337";"953-46-4034";0;8779
"1338";"845-32-1100";361840;14995
"1339";"493-23-3150";0;3241
"1340";"847-49-1830";0;9015
"1341";"172-38-8398";0;11302
"1342";"478-45-5941";0;6107
"1343";"327-66-9248";1026540;25431
"1344";"455-58-2387";0;12384
"1345";"299-75-6657";0;4343
"1346";"494-51-1708";0;1268
"1347";"282-89-7252";0;9236
"1348";"386-70-7631";0;8020
"1349";"922-87-3637";0;8627
"1350";"795-88-4728";0;6882
"1351";"862-57-4068";0;8253
"1352";"229-87-5517";0;3227
"1353";"211-15-9991";467123;23970
"1354";"960-17-7918";352739;10058
"1355";"634-95-3467";0;25511
"1356";"948-40-9957";191026;1622
"1357";"425-28-5523";229716;3870
"1358";"210-51-9954";0;17485
"1359";"110-79-3378";0;12874
"1360";"501-16-8329";0;15275
"1361";"245-75-7217";464070;3476
"1362";"512-31-9038";0;2688
"1363";"762-48-6479";0;25636
"1364";"170-70-4507";0;1690
"1365";"359-23-7929";0;2631
"1366";"621-21-6176";0;19156
"1367";"231-74-1933";339478;10572
"1368";"554-25-6665";0;12081
"1369";"140-28-7053";0;4414
"1370";"723-48-2574";414910;6937
"1371";"695-14-1678";0;11401
"1372";"603-70-8649";0;4594
"1373";"347-94-4479";0;17263
"1374";"263-91-4844";0;1296
"1375";"506-77-7539";487102;19238
"1376";"987-91-2882";0;12916
"1377";"582-34-6613";0;497
"1378";"716-42-1416";0;15087
"1379";"463-39-1615";0;3519
"1380";"540-36-6607";0;8680
"1381";"102-62-8395";0;7991
"1382";"644-58-6779";561118;12701
"1383";"633-96-3116";0;907
"1384";"973-10-8891";268171;8133
"1385";"192-94-5103";723715;5528
"1386";"184-49-8202";0;17739
"1387";"389-66-3651";0;3157
"1388";"559-29-9102";0;5403
"1389";"957-36-2556";0;9873
"1390";"528-31-1765";0;5550
"1391";"342-20-2999";0;8978
"1392";"425-35-2391";0;9937
"1393";"245-34-4614";0;5202
"1394";"858-78-9145";0;8267
"1395";"599-67-8001";754330;6762
"1396";"774-41-4865";703538;9281
"1397";"524-83-2037";392322;1506
"1398";"239-68-2947";261324;5013
"1399";"417-33-2371";0;1715
"1400";"890-24-3617";342791;4968
"1401";"795-90-9312";0;5825
"1402";"375-43-2678";659186;14267
"1403";"569-36-8743";847680;951
"1404";"307-68-1806";303219;7863
"1405";"782-25-5249";519325;5246
"1406";"323-32-9730";0;29808
"1407";"142-67-7401";0;6862
"1408";"169-10-8603";0;8950
"1409";"771-31-2242";0;3513
"1410";"651-45-1365";0;14222
"1411";"590-10-9261";330108;33470
"1412";"347-58-8360";0;8742
"1413";"909-29-9550";0;21049
"1414";"545-84-1857";0;4098
"1415";"557-90-1359";0;10965
"1416";"743-50-3709";248828;4346
"1417";"771-22-3282";0;4128
"1418";"454-14-5183";0;5576
"1419";"854-14-9778";416223;15192
"1420";"323-22-3604";0;22644
"1421";"703-66-7630";0;1973
"1422";"207-86-5073";0;2878
"1423";"897-49-6576";0;22542
"1424";"203-19-7197";0;5707
"1425";"806-40-9826";0;8826
"1426";"514-42-4980";0;5968
"1427";"191-78-2717";333601;6720
"1428";"213-40-4135";0;8194
"1429";"964-90-4104";0;1068
"1430";"294-72-2987";0;2868
"1431";"390-81-1117";361896;4818
"1432";"554-21-2832";0;21585
"1433";"692-55-9419";0;9129
"1434";"665-69-9240";219738;1793
"1435";"769-46-8493";0;13394
"1436";"390-55-3095";0;878
"1437";"102-81-5436";664312;7359
"1438";"272-58-7673";681264;3620
"1439";"183-90-4552";477037;10183
"1440";"121-72-1909";0;10786
"1441";"131-53-8450";0;7459
"1442";"847-96-3556";0;7877
"1443";"159-81-3808";0;16094
"1444";"424-26-2288";0;13115
"1445";"875-91-3819";0;14451
"1446";"246-80-3421";0;21150
"1447";"371-38-6199";0;13637
"1448";"579-79-8252";326295;4873
"1449";"283-30-9255";0;12562
"1450";"237-94-6387";0;16386
"1451";"751-24-4516";0;12698
"1452";"644-15-6579";365370;2118
"1453";"567-97-9581";0;16225
"1454";"515-28-7593";0;6047
"1455";"645-16-4821";0;1733
"1456";"571-57-5749";0;10142
"1457";"578-46-2390";0;8592
"1458";"374-30-3667";0;5190
"1459";"407-42-9498";0;2608
"1460";"825-46-7363";0;3127
"1461";"898-95-3823";411497;8319
"1462";"868-56-9174";0;3231
"1463";"615-47-8582";0;2165
"1464";"150-30-4239";0;2695
"1465";"939-10-2324";0;22829
"1466";"418-95-9696";0;4323
"1467";"288-21-7806";0;3609
"1468";"648-11-8331";0;3697
"1469";"779-47-1430";678917;33122
"1470";"807-55-7126";0;6079
"1471";"578-68-6864";0;26998
"1472";"203-74-8164";0;5814
"1473";"407-65-1161";0;2307
"1474";"471-63-4653";0;1803
"1475";"411-50-8807";0;17120
"1476";"142-55-5012";0;850
"1477";"416-34-4704";0;5014
"1478";"894-16-4031";0;12522
"1479";"602-21-7373";924860;2947
"1480";"906-81-5574";0;15310
"1481";"630-50-2724";0;6429
"1482";"542-54-7097";0;14871
"1483";"471-95-7293";337355;1306
"1484";"730-72-4612";0;695
"1485";"867-68-9359";208848;2878
"1486";"271-14-7127";0;4502
"1487";"526-55-6978";0;1320
"1488";"138-65-4732";937734;12424
"1489";"354-18-8540";0;6177
"1490";"100-27-1954";881719;1445
"1491";"184-52-7926";0;12652
"1492";"215-28-6664";0;34092
"1493";"246-26-7325";0;10596
"1494";"307-72-7297";763026;3548
"1495";"804-93-6581";0;3745
"1496";"348-59-2714";0;21979
"1497";"567-84-1921";0;2795
"1498";"602-54-9292";0;2349
"1499";"274-92-8890";0;1733
"1500";"943-18-4950";0;7485
"1501";"556-68-2214";0;17734
"1502";"492-73-6260";604405;9905
"1503";"951-39-1639";0;4418
"1504";"187-56-4294";0;13744
"1505";"872-83-1562";0;11223
"1506";"416-70-1453";453788;11172
"1507";"336-86-8570";0;4269
"1508";"843-33-5244";0;5042
"1509";"870-16-3184";0;18058
"1510";"184-19-6455";605883;7545
"1511";"695-64-2105";754245;9679
"1512";"693-50-8150";0;2098
"1513";"817-36-6502";0;4411
"1514";"841-40-1967";0;4324
"1515";"180-29-5856";0;11221
"1516";"373-54-9871";0;15788
"1517";"185-82-1970";0;3493
"1518";"434-27-5354";406454;1669
"1519";"498-92-2366";759729;6661
"1520";"865-71-8816";0;7320
"1521";"616-79-2744";349772;13421
"1522";"242-84-3070";0;3397
"1523";"788-90-1998";383380;7763
"1524";"107-64-7852";0;19908
"1525";"723-77-7261";515758;5821
"1526";"500-66-6553";0;12202
"1527";"120-96-9964";397325;2986
"1528";"944-62-8105";501233;11951
"1529";"358-36-1815";0;4342
"1530";"473-66-1516";0;10120
"1531";"137-85-6598";0;8243
"1532";"787-35-6960";402956;9942
"1533";"677-97-5493";0;10272
"1534";"994-80-7289";883317;15302
"1535";"726-73-5801";0;6276
"1536";"539-65-3020";522557;1614
"1537";"538-48-2803";0;2759
"1538";"680-88-8801";0;3704
"1539";"823-16-6028";0;7086
"1540";"598-87-3984";0;13603
"1541";"141-62-4330";276467;8308
"1542";"343-90-6627";323673;4284
"1543";"539-74-5538";1455568;9078
"1544";"183-51-5445";0;2303
"1545";"223-11-1640";0;15294
"1546";"152-93-4864";0;22081
"1547";"903-40-6254";251786;17116
"1548";"300-15-7326";599675;13624
"1549";"982-15-9877";456608;11996
"1550";"423-45-2297";0;12267
"1551";"269-76-6791";0;8335
"1552";"998-96-2339";0;5932
"1553";"208-23-5290";0;13125
"1554";"689-47-8907";0;4362
"1555";"914-38-8663";553640;4271
"1556";"787-21-7282";0;14551
"1557";"401-18-8141";0;12776
"1558";"855-45-9394";357241;7155
"1559";"782-56-6290";449491;5303
"1560";"486-38-6349";535246;16994
"1561";"903-48-7540";0;9113
"1562";"210-45-5331";0;16365
"1563";"376-37-6152";0;10310
"1564";"960-42-3004";774151;5251
"1565";"117-98-4795";498256;10184
"1566";"516-13-9294";0;5973
"1567";"146-60-9005";0;1515
"1568";"320-91-2355";0;26207
"1569";"446-17-8536";704226;19144
"1570";"850-14-1663";0;15010
"1571";"829-87-2639";0;3834
"1572";"444-54-9522";0;7117
"1573";"924-29-4223";0;3660
"1574";"126-71-2108";0;9140
"1575";"841-60-7514";392154;572
"1576";"281-32-3619";896775;10447
"1577";"815-13-1968";0;11126
"1578";"121-12-9164";862587;20093
"1579";"169-96-3898";780638;4101
"1580";"527-27-1908";0;7432
"1581";"595-69-2623";0;9563
"1582";"626-11-2969";0;9473
"1583";"453-72-3705";401473;2790
"1584";"724-17-8784";0;4573
"1585";"816-68-7559";1021247;10988
"1586";"203-95-3398";498161;15047
"1587";"182-96-4578";0;5166
"1588";"128-95-8601";471878;5479
"1589";"428-20-2739";0;1612
"1590";"169-14-8549";0;3197
"1591";"485-14-6845";0;2327
"1592";"487-73-1827";655632;28024
"1593";"928-63-5025";0;2253
"1594";"858-44-7992";0;12650
"1595";"971-15-8632";0;1053
"1596";"661-21-6121";0;18372
"1597";"167-16-5568";624277;4141
"1598";"366-42-9916";0;12246
"1599";"794-26-6824";0;6725
"1600";"958-51-3829";298793;21546
"1601";"174-96-2105";0;13918
"1602";"988-45-3515";0;9676
"1603";"596-76-6366";884856;9654
"1604";"103-19-4981";277202;1261
"1605";"860-43-4618";210933;5374
"1606";"530-93-7461";0;8992
"1607";"598-14-5712";0;18122
"1608";"591-33-4727";1500556;11839
"1609";"384-96-2358";969370;5947
"1610";"382-13-5263";254761;9185
"1611";"780-36-8912";0;16855
"1612";"267-80-4523";0;13916
"1613";"131-86-7323";0;3486
"1614";"687-16-1983";225526;15793
"1615";"780-81-7004";0;9548
"1616";"402-20-8536";0;5858
"1617";"704-53-6267";0;24126
"1618";"319-41-4915";0;11495
"1619";"511-79-4826";648894;6800
"1620";"274-52-7773";0;3493
"1621";"575-42-5668";0;1155
"1622";"557-63-6273";294566;15912
"1623";"276-55-3981";0;6618
"1624";"276-52-8130";0;5040
"1625";"689-94-9305";0;8552
"1626";"113-84-7758";0;15052
"1627";"450-91-3907";0;9443
"1628";"757-28-1590";250152;6388
"1629";"526-18-7029";0;7043
"1630";"618-90-8356";0;10356
"1631";"694-33-1931";426054;6881
"1632";"410-79-2275";0;7685
"1633";"553-85-5320";0;24987
"1634";"586-33-1713";0;11355
"1635";"127-32-9726";0;13952
"1636";"395-19-1735";0;15062
"1637";"703-30-9895";0;8956
"1638";"709-55-4950";0;7500
"1639";"915-56-7103";0;3130
"1640";"879-49-1577";421711;5403
"1641";"205-36-3090";454957;10565
"1642";"770-73-8893";381848;10178
"1643";"654-65-3693";0;23283
"1644";"943-67-2484";441494;14329
"1645";"449-99-7086";226051;1375
"1646";"869-26-3156";0;16943
"1647";"943-39-1050";525627;1726
"1648";"702-52-2185";0;5997
"1649";"225-19-3077";365025;12353
"1650";"433-71-2417";0;6117
"1651";"908-66-3623";0;7386
"1652";"818-13-7240";0;19910
"1653";"814-30-5413";0;4788
"1654";"183-43-4720";0;25144
"1655";"837-86-2314";0;12308
"1656";"897-65-9644";0;3726
"1657";"124-52-8343";0;8653
"1658";"668-96-9056";0;3689
"1659";"828-21-7218";0;26541
"1660";"755-31-7758";503847;10136
"1661";"814-42-3976";0;5382
"1662";"363-91-3088";351445;5354
"1663";"934-70-6892";0;8677
"1664";"427-53-6536";407352;2858
"1665";"721-78-7392";0;8048
"1666";"553-48-2013";1205551;10824
"1667";"287-53-6714";0;2177
"1668";"185-93-3559";0;1463
"1669";"756-11-6320";0;2545
"1670";"306-82-8029";0;8835
"1671";"727-97-7964";447002;24581
"1672";"252-73-8584";306732;8490
